industries,year ,jobs 
Information and communication,2001,361
Manufacturing,2001,219
Other service activities,2001,130
Primary and utilities,2001,33
"Professional, scientific and technical activities",2001,490
"Public administration and defence, compulsory social security",2001,215
Real estate activities,2001,72
Transportation and storage,2001,268
"Wholesale, retail and motor trades",2001,653
Accommodation and food service activities,2002,305
Activities of households,2002,23
Administrative and support service activities,2002,460
"Arts, entertainment and recreation",2002,154
Construction,2002,243
Education,2002,284
Financial and insurance activities,2002,353
Human health and social work activities,2002,375
Information and communication,2002,341
Manufacturing,2002,198
Other service activities,2002,129
Primary and utilities,2002,28
"Professional, scientific and technical activities",2002,477
"Public administration and defence, compulsory social security",2002,241
Real estate activities,2002,71
Transportation and storage,2002,257
"Wholesale, retail and motor trades",2002,649
Accommodation and food service activities,2003,317
Activities of households,2003,26
Administrative and support service activities,2003,457
"Arts, entertainment and recreation",2003,146
Construction,2003,234
Education,2003,296
Financial and insurance activities,2003,343
Human health and social work activities,2003,385
Information and communication,2003,335
Manufacturing,2003,195
Other service activities,2003,132
Primary and utilities,2003,24
"Professional, scientific and technical activities",2003,503
"Public administration and defence, compulsory social security",2003,241
Real estate activities,2003,76
Transportation and storage,2003,266
"Wholesale, retail and motor trades",2003,641
Accommodation and food service activities,2004,312
Activities of households,2004,27
Administrative and support service activities,2004,467
"Arts, entertainment and recreation",2004,147
Construction,2004,229
Education,2004,307
Financial and insurance activities,2004,334
Human health and social work activities,2004,405
Information and communication,2004,314
Manufacturing,2004,184
Other service activities,2004,136
Primary and utilities,2004,29
"Professional, scientific and technical activities",2004,486
"Public administration and defence, compulsory social security",2004,242
Real estate activities,2004,75
Transportation and storage,2004,259
"Wholesale, retail and motor trades",2004,639
Accommodation and food service activities,2005,323
Activities of households,2005,29
Administrative and support service activities,2005,480
"Arts, entertainment and recreation",2005,152
Construction,2005,250
Education,2005,307
Financial and insurance activities,2005,335
Human health and social work activities,2005,417
Information and communication,2005,344
Manufacturing,2005,178
Other service activities,2005,131
Primary and utilities,2005,26
"Professional, scientific and technical activities",2005,541
"Public administration and defence, compulsory social security",2005,250
Real estate activities,2005,81
Transportation and storage,2005,271
"Wholesale, retail and motor trades",2005,633
Accommodation and food service activities,2006,312
Activities of households,2006,24
Administrative and support service activities,2006,493
"Arts, entertainment and recreation",2006,161
Construction,2006,264
Education,2006,304
Financial and insurance activities,2006,345
Human health and social work activities,2006,400
Information and communication,2006,350
Manufacturing,2006,162
Other service activities,2006,136
Primary and utilities,2006,28
"Professional, scientific and technical activities",2006,567
"Public administration and defence, compulsory social security",2006,244
Real estate activities,2006,83
Transportation and storage,2006,260
"Wholesale, retail and motor trades",2006,631
Accommodation and food service activities,2007,320
Activities of households,2007,32
Administrative and support service activities,2007,513
"Arts, entertainment and recreation",2007,168
Construction,2007,258
Education,2007,309
Financial and insurance activities,2007,360
Human health and social work activities,2007,397
Information and communication,2007,355
Manufacturing,2007,167
Other service activities,2007,139
Primary and utilities,2007,32
"Professional, scientific and technical activities",2007,587
"Public administration and defence, compulsory social security",2007,231
Real estate activities,2007,88
Transportation and storage,2007,277
"Wholesale, retail and motor trades",2007,636
Accommodation and food service activities,2008,334
Activities of households,2008,28
Administrative and support service activities,2008,492
"Arts, entertainment and recreation",2008,170
Construction,2008,268
Education,2008,333
Financial and insurance activities,2008,374
Human health and social work activities,2008,457
Information and communication,2008,360
Manufacturing,2008,145
Other service activities,2008,132
Primary and utilities,2008,31
"Professional, scientific and technical activities",2008,621
"Public administration and defence, compulsory social security",2008,241
Real estate activities,2008,103
Transportation and storage,2008,283
"Wholesale, retail and motor trades",2008,631
Accommodation and food service activities,2009,310
Activities of households,2009,20
Administrative and support service activities,2009,475
"Arts, entertainment and recreation",2009,137
Construction,2009,253
Education,2009,353
Financial and insurance activities,2009,343
Human health and social work activities,2009,473
Information and communication,2009,334
Manufacturing,2009,133
Other service activities,2009,133
Primary and utilities,2009,23
"Professional, scientific and technical activities",2009,608
"Public administration and defence, compulsory social security",2009,241
Real estate activities,2009,99
Transportation and storage,2009,258
"Wholesale, retail and motor trades",2009,588
Accommodation and food service activities,2010,325
Activities of households,2010,17
Administrative and support service activities,2010,488
"Arts, entertainment and recreation",2010,167
Construction,2010,240
Education,2010,355
Financial and insurance activities,2010,364
Human health and social work activities,2010,466
Information and communication,2010,356
Manufacturing,2010,114
Other service activities,2010,140
Primary and utilities,2010,31
"Professional, scientific and technical activities",2010,627
"Public administration and defence, compulsory social security",2010,228
Real estate activities,2010,103
Transportation and storage,2010,251
"Wholesale, retail and motor trades",2010,582
Accommodation and food service activities,2011,338
Activities of households,2011,18
Administrative and support service activities,2011,508
"Arts, entertainment and recreation",2011,172
Construction,2011,264
Education,2011,369
Financial and insurance activities,2011,369
Human health and social work activities,2011,485
Information and communication,2011,367
Manufacturing,2011,126
Other service activities,2011,140
Primary and utilities,2011,32
"Professional, scientific and technical activities",2011,600
"Public administration and defence, compulsory social security",2011,219
Real estate activities,2011,118
Transportation and storage,2011,251
"Wholesale, retail and motor trades",2011,600
Accommodation and food service activities,2012,338
Activities of households,2012,22
Administrative and support service activities,2012,500
"Arts, entertainment and recreation",2012,172
Construction,2012,277
Education,2012,375
Financial and insurance activities,2012,383
Human health and social work activities,2012,522
Information and communication,2012,366
Manufacturing,2012,121
Other service activities,2012,140
Primary and utilities,2012,31
"Professional, scientific and technical activities",2012,641
"Public administration and defence, compulsory social security",2012,219
Real estate activities,2012,122
Transportation and storage,2012,266
"Wholesale, retail and motor trades",2012,630
Accommodation and food service activities,2013,366
Activities of households,2013,27
Administrative and support service activities,2013,514
"Arts, entertainment and recreation",2013,172
Construction,2013,277
Education,2013,405
Financial and insurance activities,2013,361
Human health and social work activities,2013,540
Information and communication,2013,416
Manufacturing,2013,118
Other service activities,2013,160
Primary and utilities,2013,34
"Professional, scientific and technical activities",2013,730
"Public administration and defence, compulsory social security",2013,222
Real estate activities,2013,118
Transportation and storage,2013,269
"Wholesale, retail and motor trades",2013,642
Accommodation and food service activities,2014,372
Activities of households,2014,22
Administrative and support service activities,2014,583
"Arts, entertainment and recreation",2014,196
Construction,2014,289
Education,2014,410
Financial and insurance activities,2014,358
Human health and social work activities,2014,549
Information and communication,2014,423
Manufacturing,2014,128
Other service activities,2014,146
Primary and utilities,2014,31
"Professional, scientific and technical activities",2014,741
"Public administration and defence, compulsory social security",2014,222
Real estate activities,2014,126
Transportation and storage,2014,275
"Wholesale, retail and motor trades",2014,660
Accommodation and food service activities,2015,392
Activities of households,2015,16
Administrative and support service activities,2015,574
"Arts, entertainment and recreation",2015,198
Construction,2015,287
Education,2015,430
Financial and insurance activities,2015,387
Human health and social work activities,2015,552
Information and communication,2015,435
Manufacturing,2015,118
Other service activities,2015,145
Primary and utilities,2015,33
"Professional, scientific and technical activities",2015,782
"Public administration and defence, compulsory social security",2015,220
Real estate activities,2015,140
Transportation and storage,2015,289
"Wholesale, retail and motor trades",2015,654
Accommodation and food service activities,2016,414
Activities of households,2016,21
Administrative and support service activities,2016,592
"Arts, entertainment and recreation",2016,213
Construction,2016,305
Education,2016,414
Financial and insurance activities,2016,393
Human health and social work activities,2016,556
Information and communication,2016,445
Manufacturing,2016,132
Other service activities,2016,160
Primary and utilities,2016,36
"Professional, scientific and technical activities",2016,826
"Public administration and defence, compulsory social security",2016,222
Real estate activities,2016,118
Transportation and storage,2016,290
"Wholesale, retail and motor trades",2016,637
Accommodation and food service activities,2017,409
Activities of households,2017,11
Administrative and support service activities,2017,627
"Arts, entertainment and recreation",2017,211
Construction,2017,346
Education,2017,410
Financial and insurance activities,2017,373
Human health and social work activities,2017,610
Information and communication,2017,463
Manufacturing,2017,129
Other service activities,2017,162
Primary and utilities,2017,36
"Professional, scientific and technical activities",2017,802
"Public administration and defence, compulsory social security",2017,223
Real estate activities,2017,132
Transportation and storage,2017,292
"Wholesale, retail and motor trades",2017,682
Accommodation and food service activities,2018,466
Activities of households,2018,12
Administrative and support service activities,2018,617
"Arts, entertainment and recreation",2018,195
Construction,2018,309
Education,2018,398
Financial and insurance activities,2018,386
Human health and social work activities,2018,587
Information and communication,2018,474
Manufacturing,2018,128
Other service activities,2018,160
Primary and utilities,2018,44
"Professional, scientific and technical activities",2018,821
"Public administration and defence, compulsory social security",2018,237
Real estate activities,2018,148
Transportation and storage,2018,309
"Wholesale, retail and motor trades",2018,648
Accommodation and food service activities,2019,458
Activities of households,2019,13
Administrative and support service activities,2019,606
"Arts, entertainment and recreation",2019,202
Construction,2019,317
Education,2019,424
Financial and insurance activities,2019,406
Human health and social work activities,2019,601
Information and communication,2019,520
Manufacturing,2019,137
Other service activities,2019,160
Primary and utilities,2019,39
"Professional, scientific and technical activities",2019,815
"Public administration and defence, compulsory social security",2019,246
Real estate activities,2019,155
Transportation and storage,2019,318
"Wholesale, retail and motor trades",2019,654
Accommodation and food service activities,2020,376
Activities of households,2020,7
Administrative and support service activities,2020,510
"Arts, entertainment and recreation",2020,193
Construction,2020,245
Education,2020,414
Financial and insurance activities,2020,427
Human health and social work activities,2020,622
Information and communication,2020,449
Manufacturing,2020,133
Other service activities,2020,159
Primary and utilities,2020,42
"Professional, scientific and technical activities",2020,826
"Public administration and defence, compulsory social security",2020,261
Real estate activities,2020,154
Transportation and storage,2020,304
"Wholesale, retail and motor trades",2020,660
Accommodation and food service activities,2021,421
Activities of households,2021,16
Administrative and support service activities,2021,584
"Arts, entertainment and recreation",2021,210
Construction,2021,288
Education,2021,431
Financial and insurance activities,2021,426
Human health and social work activities,2021,627
Information and communication,2021,514
Manufacturing,2021,134
Other service activities,2021,161
Primary and utilities,2021,47
"Professional, scientific and technical activities",2021,865
"Public administration and defence, compulsory social security",2021,273
Real estate activities,2021,143
Transportation and storage,2021,299
"Wholesale, retail and motor trades",2021,645
Accommodation and food service activities,2022,571
Activities of households,2022,16
Administrative and support service activities,2022,643
"Arts, entertainment and recreation",2022,196
Construction,2022,272
Education,2022,404
Financial and insurance activities,2022,406
Human health and social work activities,2022,649
Information and communication,2022,570
Manufacturing,2022,136
Other service activities,2022,184
Primary and utilities,2022,44
"Professional, scientific and technical activities",2022,915
"Public administration and defence, compulsory social security",2022,266
Real estate activities,2022,167
Transportation and storage,2022,307
"Wholesale, retail and motor trades",2022,663
Accommodation and food service activities,2023,558
Activities of households,2023,16
Administrative and support service activities,2023,650
"Arts, entertainment and recreation",2023,206
Construction,2023,271
Education,2023,439
Financial and insurance activities,2023,434
Human health and social work activities,2023,680
Information and communication,2023,577
Manufacturing,2023,119
Other service activities,2023,193
Primary and utilities,2023,56
"Professional, scientific and technical activities",2023,925
"Public administration and defence, compulsory social security",2023,276
Real estate activities,2023,161
Transportation and storage,2023,314
"Wholesale, retail and motor trades",2023,667
